,date,steps,distance,runDistance,calories
0,2016-04-27,21677,15214,1035,990
1,2016-04-28,2269,1532,147,56
2,2016-04-29,10836,8134,148,279
3,2016-04-30,1977,1402,131,46
4,2016-05-01,4989,3448,2768,183
5,2016-05-02,7139,5182,305,181
6,2016-05-03,27531,21264,15784,761
7,2016-05-04,17688,12093,904,391
8,2016-05-05,6929,5394,2059,230
9,2016-05-06,7636,5991,2660,269
10,2016-05-07,17218,12160,88,373
11,2016-05-08,4162,2744,326,93
12,2016-05-09,8670,6028,588,211
13,2016-05-10,4801,3277,285,117
14,2016-05-11,2922,1894,1613,110
15,2016-05-12,6955,5191,156,186
16,2016-05-13,15986,11509,1616,721
17,2016-05-14,10766,7991,167,277
18,2016-05-15,26052,18538,309,605
19,2016-05-16,28614,21517,195,724
20,2016-05-17,8765,5924,666,196
21,2016-05-18,6604,4434,342,144
22,2016-05-19,4705,3292,177,120
23,2016-05-20,2792,2039,213,87
24,2016-05-21,11702,8894,180,313
25,2016-05-22,6404,4154,543,143
26,2016-05-23,6357,4302,460,153
27,2016-05-24,17788,12788,163,399
28,2016-05-25,24162,17362,12956,652
29,2016-05-26,8741,5898,485,198
30,2016-05-27,20871,14776,515,477
31,2016-05-28,9879,7038,475,239
32,2016-05-29,8660,6181,4954,285
33,2016-05-30,9948,7755,130,266
34,2016-05-31,8430,5836,421,200
35,2016-06-01,3586,2401,172,91
36,2016-06-02,8577,6527,286,637
37,2016-06-03,13955,9436,435,301
38,2016-06-04,25246,17441,590,550
39,2016-06-05,0,0,0,0
40,2016-06-06,8411,6359,168,233
41,2016-06-07,2410,1687,188,61
42,2016-06-08,18336,13278,736,432
43,2016-06-09,3561,2471,181,91
44,2016-06-10,6464,4670,101,155
45,2016-06-11,11009,8222,278,278
46,2016-06-12,10228,6684,678,224
47,2016-06-13,7344,5333,331,432
48,2016-06-14,351,227,70,11
49,2016-06-15,22522,16236,336,515
50,2016-06-16,3421,2943,2108,163
51,2016-06-17,1772,1174,153,43
52,2016-06-18,17991,12369,225,428
53,2016-06-19,355,229,103,20
54,2016-06-20,8603,5989,622,205
55,2016-06-21,2254,1560,111,63
56,2016-06-22,8310,5714,4377,259
57,2016-06-23,15274,11166,4765,651
58,2016-06-24,12752,10547,8026,864
59,2016-06-25,25469,19348,285,672
60,2016-06-26,22108,15701,203,938
61,2016-06-27,7470,5084,497,165
62,2016-06-28,8378,5963,461,200
63,2016-06-29,8293,5948,301,202
64,2016-06-30,416,269,62,13
65,2016-07-01,17925,12914,438,428
66,2016-07-02,16011,11113,278,790
67,2016-07-03,9217,7328,2578,306
68,2016-07-04,7644,5372,0,366
69,2016-07-05,5090,3815,179,139
70,2016-07-06,3654,2528,166,82
71,2016-07-07,19682,14068,640,466
72,2016-07-08,10422,7135,607,233
73,2016-07-09,6422,4373,3540,252
74,2016-07-10,5164,3535,378,124
75,2016-07-11,7171,4855,515,171
76,2016-07-12,15682,11175,133,667
77,2016-07-13,16030,11733,142,387
78,2016-07-14,2557,1689,237,73
79,2016-07-15,493,319,111,15
80,2016-07-16,9320,7320,161,256
81,2016-07-17,16910,12835,1451,457
82,2016-07-18,2316,1497,260,66
83,2016-07-19,19223,13597,1732,438
84,2016-07-20,9283,6382,467,214
85,2016-07-21,1066,798,31,29
86,2016-07-22,8073,5690,337,198
87,2016-07-23,0,0,0,0
88,2016-07-24,4279,2971,256,118
89,2016-07-25,3530,2424,0,222
90,2016-07-26,10398,7728,64,500
91,2016-07-27,15212,10782,594,348
92,2016-07-28,10541,7986,87,277
93,2016-07-29,6003,4334,260,164
94,2016-07-30,4144,3046,160,112
95,2016-07-31,15581,11600,366,402
96,2016-08-01,6958,4669,676,158
97,2016-08-02,10692,8152,316,289
98,2016-08-03,31239,22425,16631,866
99,2016-08-04,6356,4759,313,167
100,2016-08-05,12331,9083,421,324
101,2016-08-06,2123,1387,265,62
102,2016-08-07,1891,1314,198,59
103,2016-08-08,6938,4801,313,158
104,2016-08-09,1254,883,87,29
105,2016-08-10,5484,3986,193,154
106,2016-08-11,22002,16204,286,542
107,2016-08-12,7721,5889,372,204
108,2016-08-13,12424,10207,2968,587
109,2016-08-14,10307,7624,5727,311
110,2016-08-15,15858,10815,324,335
111,2016-08-16,383,248,59,11
112,2016-08-17,0,0,0,0
113,2016-08-18,3929,2690,505,92
114,2016-08-19,14187,10112,2132,343
115,2016-08-20,19549,14417,400,468
116,2016-08-21,2093,1362,195,49
117,2016-08-22,19099,15005,275,554
118,2016-08-23,2832,2100,66,71
119,2016-08-24,5230,3420,99,119
120,2016-08-25,28293,21473,485,724
121,2016-08-26,5206,4096,93,142
122,2016-08-27,10393,9389,7682,530
123,2016-08-28,2719,1903,188,65
124,2016-08-29,3102,2187,175,81
125,2016-08-30,4318,2923,303,102
126,2016-08-31,21099,15291,1183,499
127,2016-09-01,4022,2804,261,99
128,2016-09-02,542,350,66,16
129,2016-09-03,9159,6433,399,455
130,2016-09-04,8010,5960,305,216
131,2016-09-05,8648,5898,579,201
132,2016-09-06,21642,15753,356,523
133,2016-09-07,7292,5092,381,175
134,2016-09-08,11187,8103,377,282
135,2016-09-09,11177,8691,194,310
136,2016-09-10,923,597,136,27
137,2016-09-11,4860,3423,219,114
138,2016-09-12,1097,713,163,32
139,2016-09-13,10019,6999,383,242
140,2016-09-14,3347,2369,165,91
141,2016-09-15,6426,4465,349,153
142,2016-09-16,24865,17352,578,1024
143,2016-09-17,665,430,62,19
144,2016-09-18,1755,1200,196,56
145,2016-09-19,529,342,78,17
146,2016-09-20,4675,3316,263,466
147,2016-09-21,27465,19750,205,1168
148,2016-09-22,4015,2852,356,107
149,2016-09-23,3887,2825,63,96
150,2016-09-24,14459,10492,944,350
151,2016-09-25,2884,1876,225,63
152,2016-09-26,9357,6969,228,241
153,2016-09-27,7587,5192,483,173
154,2016-09-28,10783,7216,183,227
155,2016-09-29,7781,5574,39,182
156,2016-09-30,3674,2514,126,87
157,2016-10-01,2541,1836,162,68
158,2016-10-02,16682,12410,1538,440
159,2016-10-03,7076,4908,456,170
160,2016-10-04,1494,1045,99,48
161,2016-10-05,0,0,0,0
162,2016-10-06,3275,2295,203,75
163,2016-10-07,5054,3363,395,117
164,2016-10-08,11587,8409,1856,295
165,2016-10-09,5692,3756,495,130
166,2016-10-10,11777,8557,58,464
167,2016-10-11,9083,6098,236,199
168,2016-10-12,6755,4739,569,168
169,2016-10-13,10861,8092,73,266
170,2016-10-14,2585,1671,0,165
171,2016-10-15,9281,6320,601,218
172,2016-10-16,4105,2939,197,106
173,2016-10-17,1745,1290,26,48
174,2016-10-18,10475,7917,305,285
175,2016-10-19,3689,2503,240,88
176,2016-10-20,1414,982,154,46
177,2016-10-21,3157,2344,60,81
178,2016-10-22,16310,11830,4583,418
179,2016-10-23,13826,9991,930,338
180,2016-10-24,17162,12702,988,415
181,2016-10-25,8453,5868,547,207
182,2016-10-26,7871,5787,411,203
183,2016-10-27,1763,1191,190,45
184,2016-10-28,6252,4634,305,162
185,2016-10-29,12282,8976,477,318
186,2016-10-30,4660,3372,2674,179
187,2016-10-31,1363,881,255,355
188,2016-11-01,16773,11737,166,377
189,2016-11-02,4145,2723,264,89
190,2016-11-03,2522,1630,0,204
191,2016-11-04,1542,1117,57,39
192,2016-11-05,6304,4897,160,177
193,2016-11-06,22507,16126,4240,549
194,2016-11-07,8568,6493,219,221
195,2016-11-08,14249,10213,7807,460
196,2016-11-09,2681,1737,199,66
197,2016-11-10,11100,7960,541,279
198,2016-11-11,15063,11494,296,413
199,2016-11-12,13996,10019,551,354
200,2016-11-13,4904,3473,390,120
201,2016-11-14,14455,10718,232,350
202,2016-11-15,2957,1930,1637,130
203,2016-11-16,4917,3334,2721,174
204,2016-11-17,6714,4706,223,162
205,2016-11-18,7126,5318,0,345
206,2016-11-19,26745,19494,1056,675
207,2016-11-20,10243,6956,504,233
208,2016-11-21,6532,4544,595,152
209,2016-11-22,5918,4090,350,141
210,2016-11-23,37126,26491,500,828
211,2016-11-24,13856,10471,7911,416
212,2016-11-25,1540,1008,131,35
213,2016-11-26,5912,4146,183,143
214,2016-11-27,2490,1609,277,60
215,2016-11-28,17816,13346,198,436
216,2016-11-29,12689,9375,190,303
217,2016-11-30,2188,1414,241,68
218,2016-12-01,8713,6518,355,226
219,2016-12-02,4242,3060,218,110
220,2016-12-03,63,41,0,2
221,2016-12-04,10453,7404,726,264
222,2016-12-05,17119,12351,169,800
223,2016-12-06,1934,1358,172,47
224,2016-12-07,11154,7679,324,251
225,2016-12-08,3550,2382,156,82
226,2016-12-09,7680,5778,2043,249
227,2016-12-10,11376,7955,1894,281
228,2016-12-11,8501,6015,22,421
229,2016-12-12,2163,1425,167,49
230,2016-12-13,698,453,86,15
231,2016-12-14,13357,10234,326,374
232,2016-12-15,2953,1909,1668,138
233,2016-12-16,7494,5318,418,181
234,2016-12-17,19299,13717,417,444
235,2016-12-18,2760,1865,243,72
236,2016-12-19,10103,7099,1028,256
237,2016-12-20,4327,3069,415,108
238,2016-12-21,12705,8810,647,299
239,2016-12-22,13189,9561,271,323
240,2016-12-23,13372,9678,360,335
241,2016-12-24,7178,4826,456,162
242,2016-12-25,10819,7455,349,242
243,2016-12-26,2269,1653,126,59
244,2016-12-27,8271,6283,191,215
245,2016-12-28,0,0,0,0
246,2016-12-29,20915,15347,258,483
247,2016-12-30,19022,13515,763,442
248,2016-12-31,12287,9000,301,313
249,2017-01-01,11051,7398,11,483
250,2017-01-02,7021,5596,93,195
251,2017-01-03,5822,3983,423,145
252,2017-01-04,3136,2256,406,75
253,2017-01-05,18547,13908,517,496
254,2017-01-06,1888,1297,92,45
255,2017-01-07,7802,5555,737,198
